epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2256.7,1.50458,0.96721,1.01627,0.91489,0.65868,0.74503,0.47717,1.25872,0.76806,0.9576,0.0007526,0.0007526,0.0007526
65,2291.43,1.51835,0.96246,1.01315,0.91657,0.65523,0.7438,0.48328,1.23449,0.76559,0.95268,0.0007328,0.0007328,0.0007328
66,2326.89,1.51559,0.96507,1.01422,0.91732,0.66399,0.74724,0.48254,1.24365,0.76379,0.95664,0.000713,0.000713,0.000713
67,2361.22,1.48285,0.95334,1.00446,0.91294,0.65991,0.74412,0.48883,1.22298,0.75521,0.95253,0.0006932,0.0006932,0.0006932
68,2397.6,1.50597,0.94763,1.01284,0.91933,0.66165,0.74757,0.48546,1.23728,0.75829,0.95351,0.0006734,0.0006734,0.0006734
69,2434.08,1.48734,0.9471,1.00344,0.92319,0.65871,0.74729,0.48293,1.24628,0.75854,0.95654,0.0006536,0.0006536,0.0006536
70,2468.55,1.48427,0.94034,1.00811,0.91985,0.66403,0.7503,0.49389,1.20381,0.74366,0.94739,0.0006338,0.0006338,0.0006338
71,2505.13,1.47653,0.94747,1.00765,0.91956,0.66141,0.74838,0.48125,1.23962,0.75571,0.95096,0.000614,0.000614,0.000614
72,2539.88,1.45216,0.91384,0.9944,0.92119,0.66297,0.75116,0.48071,1.26237,0.75946,0.95638,0.0005942,0.0005942,0.0005942
73,2575.39,1.46514,0.92654,0.99967,0.92206,0.66333,0.75001,0.49574,1.20091,0.74031,0.94479,0.0005744,0.0005744,0.0005744
74,2609.63,1.46737,0.92721,1.00023,0.91383,0.66849,0.75193,0.4913,1.20995,0.74709,0.9463,0.0005546,0.0005546,0.0005546
75,2644.51,1.47243,0.93527,1.00216,0.91682,0.66998,0.75315,0.50255,1.18372,0.73026,0.94048,0.0005348,0.0005348,0.0005348
76,2678.92,1.46645,0.93795,0.99883,0.91869,0.66998,0.75323,0.49966,1.1851,0.73267,0.94082,0.000515,0.000515,0.000515
77,2715.48,1.44158,0.91017,0.99428,0.917,0.67058,0.75375,0.50082,1.18692,0.72875,0.94125,0.0004952,0.0004952,0.0004952
78,2751.16,1.46278,0.92643,1.00008,0.92385,0.66729,0.75402,0.50693,1.15688,0.71901,0.93649,0.0004754,0.0004754,0.0004754
79,2786.49,1.48072,0.93674,0.99864,0.90823,0.67118,0.75301,0.48652,1.22938,0.74711,0.94752,0.0004556,0.0004556,0.0004556
80,2822.02,1.46222,0.92763,0.99762,0.91788,0.67262,0.75679,0.50823,1.16139,0.72023,0.93627,0.0004358,0.0004358,0.0004358
81,2858.37,1.43622,0.91429,0.99282,0.92109,0.66974,0.7545,0.4946,1.19552,0.73226,0.93982,0.000416,0.000416,0.000416
82,2895.14,1.44265,0.90659,0.99025,0.92277,0.67298,0.7572,0.5088,1.15965,0.71816,0.93504,0.0003962,0.0003962,0.0003962
83,2930.76,1.45405,0.9207,1.00069,0.92315,0.67322,0.75746,0.51045,1.15556,0.7179,0.93506,0.0003764,0.0003764,0.0003764
84,2966.62,1.43583,0.90724,0.99492,0.91802,0.67508,0.75725,0.51049,1.14867,0.71533,0.93273,0.0003566,0.0003566,0.0003566
85,3002.17,1.41629,0.90424,0.98595,0.92144,0.67513,0.7589,0.51319,1.15091,0.71309,0.93385,0.0003368,0.0003368,0.0003368
86,3039.82,1.42643,0.90038,0.99285,0.92165,0.6752,0.75904,0.51388,1.13996,0.70864,0.93078,0.000317,0.000317,0.000317
87,3075.32,1.45146,0.90861,0.99087,0.92117,0.671,0.75535,0.48792,1.22625,0.73496,0.94199,0.0002972,0.0002972,0.0002972
88,3111.1,1.42644,0.90569,0.98607,0.92205,0.67394,0.75896,0.50697,1.16833,0.71509,0.93302,0.0002774,0.0002774,0.0002774
89,3145.79,1.42263,0.90011,0.98844,0.92284,0.6722,0.7577,0.50248,1.17997,0.7153,0.93615,0.0002576,0.0002576,0.0002576
90,3181.44,1.41966,0.88601,0.9859,0.92402,0.67667,0.76047,0.51618,1.13883,0.70572,0.92957,0.0002378,0.0002378,0.0002378
91,3217.72,1.37993,0.86664,0.99096,0.92351,0.67364,0.75872,0.50596,1.18207,0.72175,0.93694,0.000218,0.000218,0.000218
92,3250.37,1.39746,0.87084,0.99825,0.92116,0.67358,0.75763,0.50825,1.15671,0.71393,0.93342,0.0001982,0.0001982,0.0001982
93,3282.75,1.36273,0.85478,0.98905,0.92422,0.67719,0.76047,0.51468,1.13801,0.70491,0.92935,0.0001784,0.0001784,0.0001784
94,3316.22,1.36022,0.8559,0.98881,0.92878,0.67688,0.76121,0.51756,1.13006,0.69971,0.92799,0.0001586,0.0001586,0.0001586
95,3348.6,1.33927,0.83789,0.98064,0.92653,0.67784,0.76186,0.52152,1.1178,0.69372,0.92576,0.0001388,0.0001388,0.0001388
96,3381.19,1.3549,0.85399,0.98943,0.93111,0.67668,0.76309,0.52205,1.1176,0.69217,0.9251,0.000119,0.000119,0.000119
97,3415.71,1.34029,0.83679,0.98347,0.92133,0.67903,0.76167,0.51802,1.12942,0.69585,0.92692,9.92e-05,9.92e-05,9.92e-05
98,3447.7,1.30763,0.81599,0.97111,0.92396,0.68108,0.7637,0.52464,1.10266,0.68777,0.92256,7.94e-05,7.94e-05,7.94e-05
99,3480.24,1.32698,0.83464,0.98089,0.92706,0.67844,0.76357,0.52236,1.11141,0.69023,0.92359,5.96e-05,5.96e-05,5.96e-05
100,3514,1.31054,0.8225,0.97383,0.92772,0.67958,0.76388,0.52648,1.10007,0.68623,0.92184,3.98e-05,3.98e-05,3.98e-05
